"time_period","location","population","disease_cases","minimum_temperature","maximum_temperature","specific_surface_humidity","wind_speed","nino34_anomaly","periurban_landcover","urban_landcover"
"2018-06","Province_C",624000,156,25.39,35.16,0.02039,2.33,1.001,0.28,0.15
"2018-07","Province_C",624000,206,23.57,31.56,0.02142,1.97,0.548,0.28,0.15
"2018-08","Province_C",624000,64,20.51,27.08,0.02179,1.8,0.55,0.28,0.15
"2018-09","Province_C",624000,45,16.1,24.74,0.01667,2.53,0.838,0.28,0.15
"2018-10","Province_C",624000,41,20.01,26.89,0.01363,3.48,0.724,0.28,0.15
"2018-11","Province_C",624000,80,24.11,31.63,0.0167,4.36,0.961,0.28,0.15
"2018-12","Province_C",624000,40,25.12,34.95,0.01879,4.79,0.726,0.28,0.15
"2019-01","Province_C",627000,178,23.22,33.17,0.02186,4.93,0.933,0.28,0.15
"2019-02","Province_C",627000,58,19.88,27.7,0.0214,4.87,0.324,0.28,0.15
"2019-03","Province_C",627000,61,17.2,24.82,0.01581,4.04,0.777,0.28,0.15
"2019-04","Province_C",627000,58,20.39,27.85,0.01491,3.29,0.584,0.28,0.15
"2019-05","Province_C",627000,94,23.27,33.21,0.01578,2.17,0.336,0.28,0.15
"2019-06","Province_C",627000,37,24.63,34.87,0.0177,2.54,0.511,0.28,0.15
"2019-07","Province_C",627000,73,24.59,32.91,0.02112,2.02,0.677,0.28,0.15
"2019-08","Province_C",627000,58,18.76,26.47,0.02022,2.17,0.515,0.28,0.15
"2019-09","Province_C",627000,54,17.1,24.78,0.01745,2.45,0.608,0.28,0.15
"2019-10","Province_C",627000,4,20.63,27.12,0.01341,3.4,0.588,0.28,0.15
"2019-11","Province_C",627000,95,23.55,32.68,0.01628,3.82,0.456,0.28,0.15
"2019-12","Province_C",627000,207,27.24,35.32,0.01904,4.38,0.007,0.28,0.15
"2017-01","Province_D",931500,53,23.82,31.75,0.02041,5.26,-1.24,0.18,0.07
"2017-02","Province_D",931500,31,18.81,28.04,0.02015,5.28,-0.698,0.18,0.07
"2017-03","Province_D",931500,16,16.75,24.6,0.0163,4.32,-0.667,0.18,0.07
"2017-04","Province_D",931500,16,18.51,25.22,0.01405,3.06,-1.137,0.18,0.07
"2017-05","Province_D",931500,24,23.7,31.44,0.01409,2.39,-0.197,0.18,0.07
"2017-06","Province_D",931500,34,26.8,36.78,0.02064,1.95,-0.936,0.18,0.07
"2017-07","Province_D",931500,103,24.23,33.58,0.02283,1.36,-0.261,0.18,0.07
"2017-08","Province_D",931500,4,19.42,27.51,0.02028,1.82,-0.345,0.18,0.07
"2017-09","Province_D",931500,13,18.16,24.99,0.01665,2.84,-0.709,0.18,0.07
"2017-10","Province_D",931500,45,20.51,27.52,0.01276,3.72,-0.026,0.18,0.07
"2017-11","Province_D",931500,118,21.4,32.61,0.01679,4.46,-0.248,0.18,0.07
"2017-12","Province_D",931500,120,26.52,35.09,0.01992,5.31,-0.53,0.18,0.07
"2018-01","Province_D",936000,72,23.76,31.88,0.02198,4.72,-0.227,0.18,0.07
"2018-02","Province_D",936000,14,18.01,26.36,0.02168,5.01,0.156,0.18,0.07
"2018-03","Province_D",936000,115,19.02,23.83,0.01571,4.45,0.073,0.18,0.07
"2018-04","Province_D",936000,61,19.29,26.55,0.01503,2.7,0.098,0.18,0.07
"2018-05","Province_D",936000,140,23.26,32.31,0.01399,2.95,0.531,0.18,0.07
"2018-06","Province_D",936000,82,26.47,35.19,0.01959,2.05,0.443,0.18,0.07
"2018-07","Province_D",936000,83,24.71,33.17,0.02216,1.98,0.612,0.18,0.07
"2018-08","Province_D",936000,9,19.1,28.17,0.01846,2.34,0.683,0.18,0.07
"2018-09","Province_D",936000,94,16.9,25.3,0.01698,2.78,1.173,0.18,0.07
"2018-10","Province_D",936000,93,19.95,27.96,0.01586,3.49,0.605,0.18,0.07
"2018-11","Province_D",936000,234,23.86,31.98,0.01538,4.36,0.908,0.18,0.07
"2018-12","Province_D",936000,232,26.49,34.83,0.02038,4.4,0.028,0.18,0.07
"2019-01","Province_D",940500,241,23.65,32.34,0.0208,4.77,0.613,0.18,0.07
"2019-02","Province_D",940500,32,18.7,27.85,0.02204,5.12,0.78,0.18,0.07
"2019-03","Province_D",940500,57,16.4,24.34,0.01676,4.26,0.66,0.18,0.07
"2019-04","Province_D",940500,70,20.29,28.6,0.01355,4.22,0.73,0.18,0.07
"2019-05","Province_D",940500,105,23.92,32.03,0.01508,3.23,0.51,0.18,0.07
"2019-06","Province_D",940500,224,27.27,34.92,0.01981,2.4,0.826,0.18,0.07
"2019-07","Province_D",940500,113,25.07,31.1,0.02178,1.77,0.323,0.18,0.07
"2019-08","Province_D",940500,71,18.73,27.44,0.0204,2.28,0.506,0.18,0.07
"2019-09","Province_D",940500,37,16.98,25.87,0.01498,2.61,-0.011,0.18,0.07
"2019-10","Province_D",940500,21,20.46,27.74,0.01402,4.06,0.022,0.18,0.07
"2019-11","Province_D",940500,171,23.63,32.56,0.01322,5.23,0.381,0.18,0.07
"2019-12","Province_D",940500,102,26.43,35.27,0.0212,5.26,0.087,0.18,0.07
"2017-01","Province_E",517500,29,23.32,31.5,0.02124,5.1,-0.529,0.2,0.1
"2017-02","Province_E",517500,7,18.71,27.01,0.02059,5.4,-0.624,0.2,0.1
"2017-03","Province_E",517500,9,15.55,25.54,0.01537,4.32,-1.015,0.2,0.1
"2017-04","Province_E",517500,33,19.35,26.24,0.01479,3.77,-0.803,0.2,0.1
"2017-05","Province_E",517500,6,23,31.66,0.01499,3.29,-0.459,0.2,0.1
"2017-06","Province_E",517500,23,27.34,33.64,0.01875,2.28,-1.116,0.2,0.1
"2017-07","Province_E",517500,21,23.98,32.2,0.02262,1.32,-0.557,0.2,0.1
"2017-08","Province_E",517500,8,18.49,26.74,0.0201,2.13,-0.402,0.2,0.1
"2017-09","Province_E",517500,6,17.35,26.34,0.01566,3.08,-0.272,0.2,0.1
"2017-10","Province_E",517500,9,19.3,27.63,0.01386,3.09,-0.627,0.2,0.1
"2017-11","Province_E",517500,7,24.64,34.22,0.01561,4.12,-0.405,0.2,0.1
"2017-12","Province_E",517500,77,27,34.68,0.01808,4.62,0.028,0.2,0.1
"2018-01","Province_E",520000,50,22.93,33.18,0.0206,4.07,0.054,0.2,0.1
"2018-02","Province_E",520000,49,19.55,27.38,0.02072,5.12,0.352,0.2,0.1
"2018-03","Province_E",520000,25,16.28,24.5,0.01664,3.85,0.499,0.2,0.1
"2018-04","Province_E",520000,58,19.39,28.84,0.01673,2.96,0.349,0.2,0.1
"2018-05","Province_E",520000,166,24.55,33.71,0.01451,2.46,0.938,0.2,0.1
"2018-06","Province_E",520000,40,26.97,34.52,0.01961,1.99,0.533,0.2,0.1
"2018-07","Province_E",520000,68,22.92,31.32,0.02196,2.11,0.675,0.2,0.1
"2018-08","Province_E",520000,37,18.77,27.67,0.02056,1.58,0.764,0.2,0.1
"2018-09","Province_E",520000,26,15.51,26.58,0.01494,2.3,0.351,0.2,0.1
"2018-10","Province_E",520000,34,19.8,28.49,0.01422,3.28,0.781,0.2,0.1
"2018-11","Province_E",520000,80,24.32,30.6,0.01521,4.27,0.677,0.2,0.1
"2018-12","Province_E",520000,24,26.49,33.09,0.02,5.22,0.853,0.2,0.1
"2019-01","Province_E",522500,35,23.98,32.66,0.02041,4.79,0.795,0.2,0.1
"2019-02","Province_E",522500,27,19.5,28.45,0.0191,4.92,0.671,0.2,0.1
"2019-03","Province_E",522500,26,16.66,24.86,0.01524,4.7,0.421,0.2,0.1
"2019-04","Province_E",522500,18,18.66,26.97,0.0144,2.39,0.448,0.2,0.1
"2019-05","Province_E",522500,17,23.49,33.94,0.01716,2.66,0.056,0.2,0.1
"2019-06","Province_E",522500,95,27.85,36.73,0.01911,2.52,0.718,0.2,0.1
"2019-07","Province_E",522500,74,23.98,32.62,0.02109,1.93,0.519,0.2,0.1
"2019-08","Province_E",522500,13,18.99,27.33,0.01994,2.5,0.679,0.2,0.1
"2019-09","Province_E",522500,15,17.25,25.26,0.01564,2.67,0.483,0.2,0.1
"2019-10","Province_E",522500,5,18.9,27.2,0.01404,3.84,0.107,0.2,0.1
"2019-11","Province_E",522500,48,24.78,31.71,0.01541,4.31,0.032,0.2,0.1
"2019-12","Province_E",522500,27,26.68,33.58,0.0195,4.66,-0.286,0.2,0.1
